date_time,precipitation,air_temperature
1991-01-04 01:00,0,1.65
1991-01-04 02:00,0,1.85
1991-01-04 03:00,0,1.75
1991-01-04 04:00,0,1.85
1991-01-04 05:00,0,1.15
1991-01-04 06:00,0,0.75
1991-01-04 07:00,0,0.85
1991-01-04 08:00,0,0.75
1991-01-04 09:00,0,0.65
1991-01-04 10:00,0,0.75
1991-01-04 11:00,0,0.85
1991-01-04 12:00,0.03,0.85
1991-01-04 13:00,0.21,0.55
1991-01-04 14:00,0.25,0.75
1991-01-04 15:00,0.25,1.15
1991-01-04 16:00,0.25,0.95
1991-01-04 17:00,0.25,0.65
1991-01-04 18:00,0.25,0.45
1991-01-04 19:00,0.25,1.25
1991-01-04 20:00,0.25,1.45
1991-01-04 21:00,0.25,1.35
1991-01-04 22:00,0.26,0.85
1991-01-04 23:00,0.31,0.45
1991-01-05 00:00,0.44,0.25
1991-01-05 01:00,0.04,0.65
1991-01-05 02:00,0.05,1.85
1991-01-05 03:00,0.05,2.85
1991-01-05 04:00,0.05,3.15
1991-01-05 05:00,0.05,3.25
1991-01-05 06:00,0.05,3.45
1991-01-05 07:00,0.06,3.35
1991-01-05 08:00,0.07,3.45
1991-01-05 09:00,0.07,3.35
1991-01-05 10:00,0.07,3.75
1991-01-05 11:00,0.07,4.25
1991-01-05 12:00,0.07,4.65
1991-01-05 13:00,0.07,4.75
1991-01-05 14:00,0.08,4.55
1991-01-05 15:00,0.08,3.95
1991-01-05 16:00,0.08,3.25
1991-01-05 17:00,0.08,2.45
1991-01-05 18:00,0.08,1.75
1991-01-05 19:00,0.08,1.75
1991-01-05 20:00,0.08,1.65
1991-01-05 21:00,0.08,1.25
1991-01-05 22:00,0.09,1.05
1991-01-05 23:00,0.12,1.25
1991-01-06 00:00,0.15,1.25
1991-01-06 01:00,0.03,1.35
1991-01-06 02:00,0.03,1.65
1991-01-06 03:00,0.03,1.55
1991-01-06 04:00,0.03,1.25
1991-01-06 05:00,0.03,1.15
1991-01-06 06:00,0.03,1.35
1991-01-06 07:00,0.03,1.95
1991-01-06 08:00,0.04,1.95
1991-01-06 09:00,0.04,1.95
1991-01-06 10:00,0.04,2.15
1991-01-06 11:00,0.04,2.55
1991-01-06 12:00,0.04,2.65
1991-01-06 13:00,0.04,2.35
1991-01-06 14:00,0.04,1.95
1991-01-06 15:00,0.04,1.85
1991-01-06 16:00,0.04,1.75
1991-01-06 17:00,0.05,1.35
1991-01-06 18:00,0.05,1.25
1991-01-06 19:00,0.05,1.25
1991-01-06 20:00,0.05,1.25
1991-01-06 21:00,0.05,1.05
1991-01-06 22:00,0.05,1.05
1991-01-06 23:00,0.05,0.95
1991-01-07 00:00,0.05,0.85
1991-01-07 01:00,0,0.85
1991-01-07 02:00,0,0.85
1991-01-07 03:00,0,0.95
1991-01-07 04:00,0,0.85
1991-01-07 05:00,0,0.95
1991-01-07 06:00,0,0.95
1991-01-07 07:00,0,0.85
1991-01-07 08:00,0,0.95
1991-01-07 09:00,0,1.25
1991-01-07 10:00,0,1.65
1991-01-07 11:00,0,1.85
1991-01-07 12:00,0,1.95
1991-01-07 13:00,0,1.75
1991-01-07 14:00,0,1.35
1991-01-07 15:00,0,1.05
1991-01-07 16:00,0,0.65
1991-01-07 17:00,0.01,0.55
1991-01-07 18:00,0.01,0.25
1991-01-07 19:00,0.01,0.05
1991-01-07 20:00,0.01,0.05
1991-01-07 21:00,0.02,0.35
1991-01-07 22:00,0.02,0.65
1991-01-07 23:00,0.03,1.05
1991-01-08 00:00,0.04,1.25
1991-01-08 01:00,0.02,1.15
1991-01-08 02:00,0.03,0.85
1991-01-08 03:00,0.04,0.45
1991-01-08 04:00,0.06,-0.05
1991-01-08 05:00,0.07,-0.25
1991-01-08 06:00,0.07,-0.15
1991-01-08 07:00,0.08,0.05
1991-01-08 08:00,0.09,0.15
1991-01-08 09:00,0.09,0.35
1991-01-08 10:00,0.1,0.65
1991-01-08 11:00,0.12,0.85
1991-01-08 12:00,0.15,0.85
1991-01-08 13:00,0.18,0.75
1991-01-08 14:00,0.24,0.35
1991-01-08 15:00,0.27,-0.05
1991-01-08 16:00,0.29,0.25
1991-01-08 17:00,0.29,0.45
1991-01-08 18:00,0.3,0.95
1991-01-08 19:00,0.31,0.25
1991-01-08 20:00,0.34,0.25
1991-01-08 21:00,0.35,0.25
1991-01-08 22:00,0.37,0.35
1991-01-08 23:00,0.39,0.55
1991-01-09 00:00,0.39,0.85
1991-01-09 01:00,0,1.25
1991-01-09 02:00,0,1.25
1991-01-09 03:00,0,1.35
1991-01-09 04:00,0,1.15
1991-01-09 05:00,0.01,0.95
1991-01-09 06:00,0.01,0.55
1991-01-09 07:00,0.01,0.35
1991-01-09 08:00,0.04,0.35
1991-01-09 09:00,0.12,0.55
1991-01-09 10:00,0.27,0.85
1991-01-09 11:00,0.38,1.15
1991-01-09 12:00,0.41,1.85
1991-01-09 13:00,0.43,2.55
1991-01-09 14:00,0.47,2.65
1991-01-09 15:00,0.55,2.35
1991-01-09 16:00,0.64,1.85
1991-01-09 17:00,0.68,1.65
1991-01-09 18:00,0.71,1.55
1991-01-09 19:00,0.72,1.45
1991-01-09 20:00,0.74,1.15
1991-01-09 21:00,0.75,0.95
1991-01-09 22:00,0.76,0.95
1991-01-09 23:00,0.76,0.75
1991-01-10 00:00,0.76,0.25
1991-01-10 01:00,0,0.05
1991-01-10 02:00,0,-0.25
1991-01-10 03:00,0,-0.15
1991-01-10 04:00,0,-0.15
1991-01-10 05:00,0,-0.25
1991-01-10 06:00,0,-0.15
1991-01-10 07:00,0,-0.75
1991-01-10 08:00,0.01,-0.65
1991-01-10 09:00,0.03,-0.35
1991-01-10 10:00,0.07,0.15
1991-01-10 11:00,0.12,0.55
1991-01-10 12:00,0.23,0.95
1991-01-10 13:00,0.35,1.35
1991-01-10 14:00,0.51,1.75
1991-01-10 15:00,0.64,2.55
1991-01-10 16:00,0.65,3.45
1991-01-10 17:00,0.66,3.35
1991-01-10 18:00,0.68,2.55
1991-01-10 19:00,0.73,2.25
1991-01-10 20:00,0.76,1.85
1991-01-10 21:00,0.8,0.65
1991-01-10 22:00,0.84,-0.25
1991-01-10 23:00,0.89,-0.75
1991-01-11 00:00,0.93,-0.75
1991-01-11 01:00,0.03,-0.75
1991-01-11 02:00,0.05,-0.65
1991-01-11 03:00,0.06,-0.55
1991-01-11 04:00,0.07,-0.95
1991-01-11 05:00,0.07,-1.55
1991-01-11 06:00,0.07,-2.55
1991-01-11 07:00,0.07,-2.15
1991-01-11 08:00,0.07,-3.55
1991-01-11 09:00,0.07,-3.25
1991-01-11 10:00,0.07,-4.25
1991-01-11 11:00,0.07,-5.25
1991-01-11 12:00,0.07,-4.85
1991-01-11 13:00,0.07,-4.85
1991-01-11 14:00,0.09,-5.05
1991-01-11 15:00,0.11,-5.15
1991-01-11 16:00,0.13,-5.55
1991-01-11 17:00,0.15,-5.65
1991-01-11 18:00,0.2,-5.55
1991-01-11 19:00,0.21,-4.85
1991-01-11 20:00,0.22,-3.95
1991-01-11 21:00,0.23,-3.25
1991-01-11 22:00,0.23,-2.75
1991-01-11 23:00,0.23,-2.05
1991-01-12 00:00,0.24,-1.35
1991-01-12 01:00,0,-0.95
1991-01-12 02:00,0,-0.55
1991-01-12 03:00,0,-0.15
1991-01-12 04:00,0.01,-0.05
1991-01-12 05:00,0.01,0.35
1991-01-12 06:00,0.01,0.65
1991-01-12 07:00,0.01,1.15
1991-01-12 08:00,0.02,1.25
1991-01-12 09:00,0.02,1.35
1991-01-12 10:00,0.02,1.45
1991-01-12 11:00,0.03,1.15
1991-01-12 12:00,0.04,0.75
1991-01-12 13:00,0.04,-0.25
1991-01-12 14:00,0.04,-1.45
1991-01-12 15:00,0.04,-2.55
1991-01-12 16:00,0.04,-3.55
1991-01-12 17:00,0.04,-4.35
1991-01-12 18:00,0.04,-4.95
1991-01-12 19:00,0.04,-4.95
1991-01-12 20:00,0.04,-4.75
1991-01-12 21:00,0.04,-4.45
1991-01-12 22:00,0.04,-4.45
1991-01-12 23:00,0.04,-4.65
1991-01-13 00:00,0.04,-4.85
1991-01-13 01:00,0,-5.25
1991-01-13 02:00,0,-5.45
1991-01-13 03:00,0,-5.75
1991-01-13 04:00,0,-5.85
1991-01-13 05:00,0,-6.05
1991-01-13 06:00,0,-6.25
1991-01-13 07:00,0,-7.35
1991-01-13 08:00,0,-8.05
1991-01-13 09:00,0,-8.45
1991-01-13 10:00,0,-8.45
1991-01-13 11:00,0,-8.35
1991-01-13 12:00,0,-8.55
1991-01-13 13:00,0,-8.85
1991-01-13 14:00,0,-9.85
1991-01-13 15:00,0,-11.15
1991-01-13 16:00,0,-11.75
1991-01-13 17:00,0,-12.25
1991-01-13 18:00,0,-13.75
1991-01-13 19:00,0,-15.25
1991-01-13 20:00,0,-15.25
1991-01-13 21:00,0,-14.95
1991-01-13 22:00,0,-14.15
1991-01-13 23:00,0,-12.95
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
