"Date","OriginalPrecipitation","DeltaShiftPrecipitation","OriginalTemperature","DeltaShiftTemperature","ScenarioPrecipitation"
1991-06-26,9.2,8.28,12.88,13.88,6.21
1991-06-27,2.26,2.034,14.36,15.36,1.5255
1991-06-28,9.28,8.352,13.53,14.53,6.264
1991-06-29,4.8,4.32,13.38,14.38,3.24
1991-06-30,3.85,3.465,14.23,15.23,2.59875
1991-07-01,2.65,2.385,14.15,15.15,1.78875
1991-07-02,0.46,0.414,16.49,17.49,0.3105
1991-07-03,0.02,0.018,19.76,20.76,0.0135
1991-07-04,0,0,21.25,22.25,0
1991-07-05,0,0,22.44,23.44,0
1991-07-06,0,0,23.07,24.07,0
1991-07-07,0,0,24.68,25.68,0
1991-07-08,0,0,23.82,24.82,0
1991-07-09,0.21,0.189,23.21,24.21,0.14175
1991-07-10,4.37,3.933,18.58,19.58,2.94975
1991-07-11,0.52,0.468,18.74,19.74,0.351
1991-07-12,0.01,0.009,20.08,21.08,0.00675
1991-07-13,0.96,0.864,18.51,19.51,0.648
1991-07-14,4.81,4.329,17.48,18.48,3.24675
1991-07-15,1.3,1.17,16.85,17.85,0.8775
1991-07-16,2.08,1.872,17.42,18.42,1.404
1991-07-17,12.64,11.376,15.86,16.86,8.532
1991-07-18,10.24,9.216,15.46,16.46,6.912
1991-07-19,2.74,2.466,16.38,17.38,1.8495
1991-07-20,18.16,16.344,15.3,16.3,12.258
1991-07-21,6.35,5.715,15.78,16.78,4.28625
1991-07-22,0.53,0.477,17.06,18.06,0.35775
1991-07-23,0,0,17.4,18.4,0
1991-07-24,0.01,0.009,18.29,19.29,0.00675
1991-07-25,0.12,0.108,17.45,18.45,0.081
1991-07-26,0.08,0.072,17.58,18.58,0.054
1991-07-27,0.12,0.108,19.18,20.18,0.081
1991-07-28,0.01,0.009,19.8,20.8,0.00675
1991-07-29,0,0,20.72,21.72,0
1991-07-30,0,0,21.57,22.57,0
1991-07-31,0,0,21.41,22.41,0
1991-08-01,0.08,0.072,21.55,22.55,0.054
1991-08-02,7.86,7.074,19.87,20.87,5.3055
1991-08-03,6.63,5.967,20.75,21.75,4.47525
1991-08-04,3.64,3.276,21.65,22.65,2.457
1991-08-05,0.38,0.342,21.11,22.11,0.2565
1991-08-06,4.01,3.609,18.63,19.63,2.70675
1991-08-07,3.22,2.898,18.48,19.48,2.1735
1991-08-08,5.23,4.707,18.03,19.03,3.53025
1991-08-09,8.28,7.452,17.19,18.19,5.589
1991-08-10,5.85,5.265,16.88,17.88,3.94875
1991-08-11,5.71,5.139,15.97,16.97,3.85425
1991-08-12,4.41,3.969,14.66,15.66,2.97675
1991-08-13,0.31,0.279,15.1,16.1,0.20925
1991-08-14,0.59,0.531,15.77,16.77,0.39825
1991-08-15,0.24,0.216,16.61,17.61,0.162
1991-08-16,4.88,4.392,16.17,17.17,3.294
1991-08-17,1.26,1.134,15.98,16.98,0.8505
1991-08-18,7.02,6.318,14.8,15.8,4.7385
1991-08-19,7.11,6.399,15.18,16.18,4.79925
1991-08-20,1.65,1.485,16.02,17.02,1.11375
1991-08-21,0.33,0.297,16.44,17.44,0.22275
1991-08-22,0.02,0.018,17.5,18.5,0.0135
1991-08-23,0,0,18.88,19.88,0
1991-08-24,1.72,1.548,17.77,18.77,1.161
1991-08-25,18.14,16.326,15.04,16.04,12.2445
1991-08-26,1.22,1.098,16.05,17.05,0.8235
1991-08-27,0.12,0.108,16.79,17.79,0.081
1991-08-28,7.53,6.777,13.56,14.56,5.08275
1991-08-29,0.41,0.369,14.03,15.03,0.27675
1991-08-30,0,0,15.58,16.58,0
1991-08-31,0,0,16.62,17.62,0
1991-09-01,0,0,18.54,19.54,0
1991-09-02,0,0,18.16,19.16,0
1991-09-03,0,0,18.35,19.35,0
1991-09-04,0,0,15.95,16.95,0
1991-09-05,6.02,6.02,11.56,12.56,8.08125651220619
1991-09-06,0.83,0.83,8.62,9.62,1.11419317360982
1991-09-07,0.06,0.06,8.54,9.54,0.0805440848392644
1991-09-08,0.06,0.06,10.5,11.5,0.0805440848392644
1991-09-09,0.01,0.01,11.6,12.6,0.0134240141398774
1991-09-10,0.18,0.18,12.93,13.93,0.241632254517793
1991-09-11,2.24,2.24,9.54,10.54,3.00697916733254
1991-09-12,0.36,0.36,9.24,10.24,0.483264509035586
1991-09-13,0.06,0.06,10.25,11.25,0.0805440848392644
1991-09-14,6.56,6.56,10.64,11.64,8.80615327575957
1991-09-15,3.3,3.3,13.8,14.8,4.42992466615954
1991-09-16,0.19,0.19,12.59,13.59,0.255056268657671
1991-09-17,0.51,0.51,11.45,12.45,0.684624721133747
1991-09-18,0.23,0.23,10.02,11.02,0.30875232521718
1991-09-19,6.25,6.25,12.17,13.17,8.39000883742337
1991-09-20,0.28,0.28,11.52,12.52,0.375872395916567
1991-09-21,0.02,0.02,10.24,11.24,0.0268480282797548
1991-09-22,3.56,3.56,12.2,13.2,4.77894903379635
1991-09-23,3.48,3.48,10.53,11.53,4.67155692067733
1991-09-24,10.31,10.31,10.92,11.92,13.8401585782136
1991-09-25,0.78,0.78,13.05,14.05,1.04707310291044
1991-09-26,0.94,0.94,11.87,12.87,1.26185732914848
1991-09-27,27.82,27.82,8.75,9.75,37.3456073371389
1991-09-28,1.36,1.36,8.05,9.05,1.82566592302333
1991-09-29,0.14,0.14,8.79,9.79,0.187936197958284
1991-09-30,26,26,10.39,11.39,34.9024367636812
1991-10-01,2.54,2.54,10.3,11.3,3.40969959152886
1991-10-02,1.26,1.26,8.83,9.83,1.69142578162455
1991-10-03,0.41,0.41,7.24,8.24,0.550384579734973
1991-10-04,0.31,0.31,10.26,11.26,0.416144438336199
1991-10-05,0.04,0.04,9.64,10.64,0.0536960565595096
1991-10-06,2.44,2.44,10.69,11.69,3.27545945013008
1991-10-07,0.13,0.13,7.29,8.29,0.174512183818406
1991-10-08,0,0,9.95,10.95,0
1991-10-09,0,0,11.2,12.2,0
1991-10-10,0.06,0.06,8.84,9.84,0.0805440848392644
1991-10-11,0.52,0.52,8.78,9.78,0.698048735273625
1991-10-12,0.26,0.26,9.58,10.58,0.349024367636812
1991-10-13,0.1,0.1,8.9,9.9,0.134240141398774
1991-10-14,0.24,0.24,9.23,10.23,0.322176339357057
1991-10-15,4.53,4.53,8.98,9.98,6.08107840536446
1991-10-16,0.52,0.52,9.27,10.27,0.698048735273625
1991-10-17,7.64,7.64,9.65,10.65,10.2559468028663
1991-10-18,2.97,2.97,6.37,7.37,3.98693219954359
1991-10-19,2.59,2.59,4.9,5.9,3.47681966222825
1991-10-20,0.17,0.17,-0.35,0.65,0.228208240377916
1991-10-21,0,0,-1.21,-0.21,0
1991-10-22,0.09,0.09,1.9,2.9,0.120816127258897
1991-10-23,0.25,0.25,1.53,2.53,0.335600353496935
1991-10-24,0.9,0.9,3.36,4.36,1.20816127258897
1991-10-25,0.3,0.3,5.14,6.14,0.402720424196322
1991-10-26,0.07,0.07,5.21,6.21,0.0939680989791418
1991-10-27,0.57,0.57,6.46,7.46,0.765168805973011
1991-10-28,1.52,1.52,5.51,6.51,2.04045014926136
1991-10-29,0.21,0.21,5.19,6.19,0.281904296937425
1991-10-30,0.36,0.36,4.34,5.34,0.483264509035586
1991-10-31,0.21,0.21,3.83,4.83,0.281904296937425
1991-11-01,0.05,0.055,3.72,4.72,0.0738320777693257
1991-11-02,8.17,8.987,6.06,7.06,12.0641615075078
1991-11-03,3.28,3.608,8,9,4.84338430166776
1991-11-04,1.11,1.221,6.19,7.19,1.63907212647903
1991-11-05,3.18,3.498,4.28,5.28,4.69572014612911
1991-11-06,0.99,1.089,3.86,4.86,1.46187513983265
1991-11-07,5.83,6.413,3.25,4.25,8.60882026790337
1991-11-08,5.76,6.336,4.18,5.18,8.50545535902632
1991-11-09,0.52,0.572,1.66,2.66,0.767853608800987
1991-11-10,0.01,0.011,-0.87,0.13,0.0147664155538651
1991-11-11,5.28,5.808,0.79,1.79,7.79666741244079
1991-11-12,0.51,0.561,2.87,3.87,0.753087193247122
1991-11-13,6.52,7.172,4.14,5.14,9.62770294112007
1991-11-14,1.12,1.232,3.05,4.05,1.6538385420329
1991-11-15,0.31,0.341,2.28,3.28,0.457758882169819
1991-11-16,0.14,0.154,-0.71,0.29,0.206729817754112
1991-11-17,0.05,0.055,-2.88,-1.88,0.0738320777693257
1991-11-18,1.06,1.166,0.77,1.77,1.5652400487097
1991-11-19,3.35,3.685,-0.72,0.28,4.94674921054482
1991-11-20,0.16,0.176,-3.9,-2.9,0.236262648861842
1991-11-21,0.01,0.011,-1.73,-0.73,0.0147664155538651
1991-11-22,5.62,6.182,2.85,3.85,8.2987255412722
1991-11-23,0.56,0.616,4.57,5.57,0.826919271016448
1991-11-24,0.12,0.132,4.83,5.83,0.177196986646382
1991-11-25,0.08,0.088,6.05,7.05,0.118131324430921
1991-11-26,0.35,0.385,4.5,5.5,0.51682454438528
1991-11-27,0.06,0.066,5.15,6.15,0.0885984933231908
1991-11-28,0.04,0.044,5.82,6.82,0.0590656622154605
1991-11-29,0.17,0.187,4.91,5.91,0.251029064415707
1991-11-30,0.23,0.253,4,5,0.339627557738898
1991-12-01,0.09,0.099,4.61,5.61,0.132897739984786
1991-12-02,0.01,0.011,-0.35,0.65,0.0147664155538651
1991-12-03,0.1,0.11,-0.15,0.85,0.147664155538651
1991-12-04,0.1,0.11,-0.11,0.89,0.147664155538651
1991-12-05,0.01,0.011,-1.15,-0.15,0.0147664155538651
1991-12-06,1.16,1.276,-0.21,0.79,1.71290420424836
1991-12-07,1.23,1.353,-0.94,0.0600000000000001,1.81626911312541
1991-12-08,0.14,0.154,-1.76,-0.76,0.206729817754112
1991-12-09,0,0,-2.38,-1.38,0
1991-12-10,0.02,0.022,0.12,1.12,0.0295328311077303
1991-12-11,0.02,0.022,1.12,2.12,0.0295328311077303
1991-12-12,0.01,0.011,0.99,1.99,0.0147664155538651
1991-12-13,0.16,0.176,6.3,7.3,0.236262648861842
1991-12-14,2.77,3.047,1.45,2.45,4.09029710842064
1991-12-15,2.39,2.629,-0.59,0.41,3.52917331737377
1991-12-16,0.28,0.308,-3.85,-2.85,0.413459635508224
1991-12-17,0.54,0.594,1.53,2.53,0.797386439908717
1991-12-18,13.86,15.246,1.88,2.88,20.4662519576571
1991-12-19,1.71,1.881,0.65,1.65,2.52505705971094
1991-12-20,0.22,0.242,1.54,2.54,0.324861142185033
1991-12-21,1.15,1.265,-0.52,0.48,1.69813778869449
1991-12-22,0.09,0.099,-3.88,-2.88,0.132897739984786
1991-12-23,3.36,3.696,1.93,2.93,4.96151562609868
1991-12-24,0.22,0.242,-3.36,-2.36,0.324861142185033
1991-12-25,0.01,0.011,-3.13,-2.13,0.0147664155538651
1991-12-26,9.58,10.538,0.09,1.09,14.1462261006028
1991-12-27,4.06,4.466,-2.77,-1.77,5.99516471486924
1991-12-28,0.23,0.253,-1.49,-0.49,0.339627557738898
1991-12-29,0.01,0.011,2.25,3.25,0.0147664155538651
1991-12-30,0,0,1.15,2.15,0
1991-12-31,0.01,0.011,-2.4,-1.4,0.0147664155538651
1992-01-01,1.46,1.606,3.37,4.37,2.15589667086431
1992-01-02,1.9,2.09,3.83,4.83,2.80561895523438
1992-01-03,0.48,0.528,7.92,8.92,0.708787946585526
1992-01-04,0.25,0.275,2.75,3.75,0.369160388846628
1992-01-05,0.12,0.132,-0.62,0.38,0.177196986646382
1992-01-06,0.25,0.275,-2.24,-1.24,0.369160388846628
1992-01-07,5.55,6.105,1.95,2.95,8.19536063239515
1992-01-08,7.57,8.327,4.07,5.07,11.1781765742759
1992-01-09,1.22,1.342,-2.16,-1.16,1.80150269757155
1992-01-10,0.23,0.253,-2,-1,0.339627557738898
1992-01-11,0.05,0.055,5.04,6.04,0.0738320777693257
1992-01-12,0,0,1.99,2.99,0
1992-01-13,0.16,0.176,-1.54,-0.54,0.236262648861842
1992-01-14,0.62,0.682,2.4,3.4,0.915517764339638
1992-01-15,0.04,0.044,4.94,5.94,0.0590656622154605
1992-01-16,1.41,1.551,1.2,2.2,2.08206459309498
1992-01-17,0.2,0.22,-1.3,-0.3,0.295328311077303
1992-01-18,0.05,0.055,-2.93,-1.93,0.0738320777693257
1992-01-19,0.02,0.022,-4.47,-3.47,0.0295328311077303
1992-01-20,0.02,0.022,-4.5,-3.5,0.0295328311077303
1992-01-21,0,0,-2.42,-1.42,0
1992-01-22,0.04,0.044,-0.39,0.61,0.0590656622154605
1992-01-23,0.01,0.011,-1.88,-0.88,0.0147664155538651
1992-01-24,0,0,-3.91,-2.91,0
1992-01-25,0.1,0.11,-2.57,-1.57,0.147664155538651
1992-01-26,1.15,1.265,-0.28,0.72,1.69813778869449
1992-01-27,0.08,0.088,1.59,2.59,0.118131324430921
1992-01-28,0.01,0.011,3.18,4.18,0.0147664155538651
1992-01-29,0,0,3.06,4.06,0
1992-01-30,0,0,1.86,2.86,0
1992-01-31,0,0,-1.27,-0.27,0
1992-02-01,0.57,0.627,-2.04,-1.04,0.841685686570313
1992-02-02,0.04,0.044,-2.08,-1.08,0.0590656622154605
1992-02-03,9.81,10.791,1.31,2.31,14.4858536583417
1992-02-04,5.31,5.841,-0.95,0.05,7.84096665910238
1992-02-05,0.2,0.22,-3,-2,0.295328311077303
1992-02-06,0.33,0.363,-3.74,-2.74,0.487291713277549
1992-02-07,0.06,0.066,-0.06,0.94,0.0885984933231908
1992-02-08,0,0,1.21,2.21,0
1992-02-09,0.11,0.121,0.69,1.69,0.162430571092516
1992-02-10,1.18,1.298,1.48,2.48,1.74243703535609
1992-02-11,0.27,0.297,1.49,2.49,0.398693219954359
1992-02-12,0.02,0.022,0.8,1.8,0.0295328311077303
1992-02-13,7.4,8.14,1.8,2.8,10.9271475098602
1992-02-14,3.61,3.971,1.18,2.18,5.33067601494531
1992-02-15,7.09,7.799,-3.33,-2.33,10.4693886276904
1992-02-16,0.81,0.891,-3.79,-2.79,1.19607965986308
1992-02-17,0.16,0.176,-6.03,-5.03,0.236262648861842
1992-02-18,0.01,0.011,-4.46,-3.46,0.0147664155538651
1992-02-19,0,0,-4.13,-3.13,0
1992-02-20,0.11,0.121,-2.76,-1.76,0.162430571092516
1992-02-21,0.08,0.088,-1.66,-0.66,0.118131324430921
1992-02-22,0.69,0.759,-0.58,0.42,1.01888267321669
1992-02-23,3.4,3.74,4.27,5.27,5.02058128831415
1992-02-24,0.55,0.605,1.86,2.86,0.812152855462583
1992-02-25,0.24,0.264,3.45,4.45,0.354393973292763
1992-02-26,0.01,0.011,0.63,1.63,0.0147664155538651
1992-02-27,0.05,0.055,3.13,4.13,0.0738320777693257
1992-02-28,0.39,0.429,4.46,5.46,0.57589020660074
1992-02-29,0.07,0.077,2.4,3.4,0.103364908877056
1992-03-01,0.01,0.0105,4.2,5.2,0.007875
1992-03-02,1,1.05,7.23,8.23,0.7875
1992-03-03,9.11,9.5655,3.55,4.55,7.174125
1992-03-04,0.52,0.546,2.75,3.75,0.4095
1992-03-05,0.08,0.084,2,3,0.063
1992-03-06,0.11,0.1155,4.17,5.17,0.086625
1992-03-07,0.09,0.0945,5.45,6.45,0.070875
1992-03-08,0.01,0.0105,5.03,6.03,0.007875
1992-03-09,0,0,4.25,5.25,0
1992-03-10,0.02,0.021,5.64,6.64,0.01575
1992-03-11,6.09,6.3945,4.25,5.25,4.795875
1992-03-12,4.64,4.872,1.92,2.92,3.654
1992-03-13,9.66,10.143,1.32,2.32,7.60725
1992-03-14,1.94,2.037,-1.09,-0.0900000000000001,1.52775
1992-03-15,0.12,0.126,-1.33,-0.33,0.0945
1992-03-16,0.05,0.0525,0.24,1.24,0.039375
1992-03-17,3.11,3.2655,1.45,2.45,2.449125
1992-03-18,0.21,0.2205,5.27,6.27,0.165375
1992-03-19,0.54,0.567,6.88,7.88,0.42525
1992-03-20,1.18,1.239,4.27,5.27,0.92925
1992-03-21,0.66,0.693,4.73,5.73,0.51975
1992-03-22,1.8,1.89,4.32,5.32,1.4175
1992-03-23,1.81,1.9005,4.64,5.64,1.425375
1992-03-24,1.6,1.68,1.31,2.31,1.26
1992-03-25,0.08,0.084,-0.22,0.78,0.063
1992-03-26,0,0,0.23,1.23,0
1992-03-27,0.36,0.378,2.23,3.23,0.2835
1992-03-28,5.52,5.796,0.53,1.53,4.347
1992-03-29,0.33,0.3465,-0.26,0.74,0.259875
1992-03-30,0.4,0.42,-1.07,-0.0700000000000001,0.315
1992-03-31,0.24,0.252,-0.35,0.65,0.189
1992-04-01,0.22,0.231,0.88,1.88,0.17325
1992-04-02,25.21,26.4705,2.14,3.14,19.852875
1992-04-03,1.81,1.9005,4.83,5.83,1.425375
1992-04-04,0.9,0.945,2.14,3.14,0.70875
1992-04-05,10.78,11.319,-0.08,0.92,8.48925
1992-04-06,1.03,1.0815,-0.29,0.71,0.811125
1992-04-07,0.12,0.126,1.4,2.4,0.0945
1992-04-08,0.01,0.0105,1.55,2.55,0.007875
1992-04-09,0,0,2.68,3.68,0
1992-04-10,0.57,0.5985,4.59,5.59,0.448875
1992-04-11,0.14,0.147,5.85,6.85,0.11025
1992-04-12,1.99,2.0895,6.85,7.85,1.567125
1992-04-13,7.86,8.253,4.99,5.99,6.18975
1992-04-14,12.73,13.3665,1.23,2.23,10.024875
1992-04-15,0.88,0.924,-0.52,0.48,0.693
1992-04-16,6.33,6.6465,-0.65,0.35,4.984875
1992-04-17,0.47,0.4935,1.15,2.15,0.370125
1992-04-18,3.02,3.171,2.05,3.05,2.37825
1992-04-19,2.39,2.5095,3.21,4.21,1.882125
1992-04-20,0.89,0.9345,3.77,4.77,0.700875
1992-04-21,0.15,0.1575,1.8,2.8,0.118125
1992-04-22,0.56,0.588,-0.07,0.93,0.441
1992-04-23,0.12,0.126,0.68,1.68,0.0945
1992-04-24,0.03,0.0315,1.43,2.43,0.023625
1992-04-25,8.04,8.442,3.94,4.94,6.3315
1992-04-26,1.05,1.1025,8.61,9.61,0.826875
