"Date","OriginalPrecipitation","DeltaShiftPrecipitation","OriginalTemperature","DeltaShiftTemperature","ScenarioPrecipitation"
1991-06-27,2.26,2.034,14.36,15.36,2.034
1991-06-28,9.28,8.352,13.53,14.53,8.352
1991-06-29,4.8,4.32,13.38,14.38,4.32
1991-06-30,3.85,3.465,14.23,15.23,3.465
1991-07-01,2.65,2.385,14.15,15.15,2.385
1991-07-02,0.46,0.414,16.49,17.49,0.414
1991-07-03,0.02,0.018,19.76,20.76,0.018
1991-07-04,0,0,21.25,22.25,0
1991-07-05,0,0,22.44,23.44,0
1991-07-06,0,0,23.07,24.07,0
1991-07-07,0,0,24.68,25.68,0
1991-07-08,0,0,23.82,24.82,0
1991-07-09,0.21,0.189,23.21,24.21,0.189
1991-07-10,4.37,3.933,18.58,19.58,3.933
1991-07-11,0.52,0.468,18.74,19.74,0.468
1991-07-12,0.01,0.009,20.08,21.08,0.009
1991-07-13,0.96,0.864,18.51,19.51,0.864
1991-07-14,4.81,4.329,17.48,18.48,4.329
1991-07-15,1.3,1.17,16.85,17.85,1.17
1991-07-16,2.08,1.872,17.42,18.42,1.872
1991-07-17,12.64,11.376,15.86,16.86,5.55269671729336
1991-07-18,10.24,9.216,15.46,16.46,9.216
1991-07-19,2.74,2.466,16.38,17.38,2.466
1991-07-20,18.16,16.344,15.3,16.3,15.880655025826
1991-07-21,6.35,5.715,15.78,16.78,5.715
1991-07-22,0.53,0.477,17.06,18.06,0.477
1991-07-23,0,0,17.4,18.4,0
1991-07-24,0.01,0.009,18.29,19.29,0.009
1991-07-25,0.12,0.108,17.45,18.45,0.108
1991-07-26,0.08,0.072,17.58,18.58,0.072
1991-07-27,0.12,0.108,19.18,20.18,0.108
1991-07-28,0.01,0.009,19.8,20.8,0.009
1991-07-29,0,0,20.72,21.72,0
1991-07-30,0,0,21.57,22.57,0
1991-07-31,0,0,21.41,22.41,0
1991-08-01,0.08,0.072,21.55,22.55,0.072
1991-08-02,7.86,7.074,19.87,20.87,7.074
1991-08-03,6.63,5.967,20.75,21.75,5.967
1991-08-04,3.64,3.276,21.65,22.65,3.276
1991-08-05,0.38,0.342,21.11,22.11,0.342
1991-08-06,4.01,3.609,18.63,19.63,3.609
1991-08-07,3.22,2.898,18.48,19.48,2.898
1991-08-08,5.23,4.707,18.03,19.03,4.707
1991-08-09,8.28,7.452,17.19,18.19,7.452
1991-08-10,5.85,5.265,16.88,17.88,5.265
1991-08-11,5.71,5.139,15.97,16.97,5.139
1991-08-12,4.41,3.969,14.66,15.66,3.969
1991-08-13,0.31,0.279,15.1,16.1,0.279
1991-08-14,0.59,0.531,15.77,16.77,0.531
1991-08-15,0.24,0.216,16.61,17.61,0.216
1991-08-16,4.88,4.392,16.17,17.17,4.392
1991-08-17,1.26,1.134,15.98,16.98,1.134
1991-08-18,7.02,6.318,14.8,15.8,6.318
1991-08-19,7.11,6.399,15.18,16.18,6.399
1991-08-20,1.65,1.485,16.02,17.02,1.485
1991-08-21,0.33,0.297,16.44,17.44,0.297
1991-08-22,0.02,0.018,17.5,18.5,0.018
1991-08-23,0,0,18.88,19.88,0
1991-08-24,1.72,1.548,17.77,18.77,1.548
1991-08-25,18.14,16.326,15.04,16.04,15.790054837152
1991-08-26,1.22,1.098,16.05,17.05,1.098
1991-08-27,0.12,0.108,16.79,17.79,0.108
1991-08-28,7.53,6.777,13.56,14.56,6.777
1991-08-29,0.41,0.369,14.03,15.03,0.369
1991-08-30,0,0,15.58,16.58,0
1991-08-31,0,0,16.62,17.62,0
1991-09-01,0,0,18.54,19.54,0
1991-09-02,0,0,18.16,19.16,0
1991-09-03,0,0,18.35,19.35,0
1991-09-04,0,0,15.95,16.95,0
1991-09-05,6.02,6.02,11.56,12.56,6.02
1991-09-06,0.83,0.83,8.62,9.62,0.83
1991-09-07,0.06,0.06,8.54,9.54,0.06
1991-09-08,0.06,0.06,10.5,11.5,0.06
1991-09-09,0.01,0.01,11.6,12.6,0.01
1991-09-10,0.18,0.18,12.93,13.93,0.18
1991-09-11,2.24,2.24,9.54,10.54,2.24
1991-09-12,0.36,0.36,9.24,10.24,0.36
1991-09-13,0.06,0.06,10.25,11.25,0.06
1991-09-14,6.56,6.56,10.64,11.64,6.56
1991-09-15,3.3,3.3,13.8,14.8,3.3
1991-09-16,0.19,0.19,12.59,13.59,0.19
1991-09-17,0.51,0.51,11.45,12.45,0.51
1991-09-18,0.23,0.23,10.02,11.02,0.23
1991-09-19,6.25,6.25,12.17,13.17,6.25
1991-09-20,0.28,0.28,11.52,12.52,0.28
1991-09-21,0.02,0.02,10.24,11.24,0.02
1991-09-22,3.56,3.56,12.2,13.2,3.56
1991-09-23,3.48,3.48,10.53,11.53,3.48
1991-09-24,10.31,10.31,10.92,11.92,10.31
1991-09-25,0.78,0.78,13.05,14.05,0.78
1991-09-26,0.94,0.94,11.87,12.87,0.94
1991-09-27,27.82,27.82,8.75,9.75,38.4612452764008
1991-09-28,1.36,1.36,8.05,9.05,1.36
1991-09-29,0.14,0.14,8.79,9.79,0.14
1991-09-30,26,26,10.39,11.39,35.1109081578071
1991-10-01,2.54,2.54,10.3,11.3,2.54
1991-10-02,1.26,1.26,8.83,9.83,1.26
1991-10-03,0.41,0.41,7.24,8.24,0.41
1991-10-04,0.31,0.31,10.26,11.26,0.31
1991-10-05,0.04,0.04,9.64,10.64,0.04
1991-10-06,2.44,2.44,10.69,11.69,2.44
1991-10-07,0.13,0.13,7.29,8.29,0.13
1991-10-08,0,0,9.95,10.95,0
1991-10-09,0,0,11.2,12.2,0
1991-10-10,0.06,0.06,8.84,9.84,0.06
1991-10-11,0.52,0.52,8.78,9.78,0.52
1991-10-12,0.26,0.26,9.58,10.58,0.26
1991-10-13,0.1,0.1,8.9,9.9,0.1
1991-10-14,0.24,0.24,9.23,10.23,0.24
1991-10-15,4.53,4.53,8.98,9.98,4.53
1991-10-16,0.52,0.52,9.27,10.27,0.52
1991-10-17,7.64,7.64,9.65,10.65,7.64
1991-10-18,2.97,2.97,6.37,7.37,2.97
1991-10-19,2.59,2.59,4.9,5.9,2.59
1991-10-20,0.17,0.17,-0.35,0.65,0.17
1991-10-21,0,0,-1.21,-0.21,0
1991-10-22,0.09,0.09,1.9,2.9,0.09
1991-10-23,0.25,0.25,1.53,2.53,0.25
1991-10-24,0.9,0.9,3.36,4.36,0.9
1991-10-25,0.3,0.3,5.14,6.14,0.3
1991-10-26,0.07,0.07,5.21,6.21,0.07
1991-10-27,0.57,0.57,6.46,7.46,0.57
1991-10-28,1.52,1.52,5.51,6.51,1.52
1991-10-29,0.21,0.21,5.19,6.19,0.21
1991-10-30,0.36,0.36,4.34,5.34,0.36
1991-10-31,0.21,0.21,3.83,4.83,0.21
1991-11-01,0.05,0.055,3.72,4.72,0.055
1991-11-02,8.17,8.987,6.06,7.06,8.987
1991-11-03,3.28,3.608,8,9,3.608
1991-11-04,1.11,1.221,6.19,7.19,1.221
1991-11-05,3.18,3.498,4.28,5.28,3.498
1991-11-06,0.99,1.089,3.86,4.86,1.089
1991-11-07,5.83,6.413,3.25,4.25,6.413
1991-11-08,5.76,6.336,4.18,5.18,6.336
1991-11-09,0.52,0.572,1.66,2.66,0.572
1991-11-10,0.01,0.011,-0.87,0.13,0.011
1991-11-11,5.28,5.808,0.79,1.79,5.808
1991-11-12,0.51,0.561,2.87,3.87,0.561
1991-11-13,6.52,7.172,4.14,5.14,7.172
1991-11-14,1.12,1.232,3.05,4.05,1.232
1991-11-15,0.31,0.341,2.28,3.28,0.341
1991-11-16,0.14,0.154,-0.71,0.29,0.154
1991-11-17,0.05,0.055,-2.88,-1.88,0.055
1991-11-18,1.06,1.166,0.77,1.77,1.166
1991-11-19,3.35,3.685,-0.72,0.28,3.685
1991-11-20,0.16,0.176,-3.9,-2.9,0.176
1991-11-21,0.01,0.011,-1.73,-0.73,0.011
1991-11-22,5.62,6.182,2.85,3.85,6.182
1991-11-23,0.56,0.616,4.57,5.57,0.616
1991-11-24,0.12,0.132,4.83,5.83,0.132
1991-11-25,0.08,0.088,6.05,7.05,0.088
1991-11-26,0.35,0.385,4.5,5.5,0.385
1991-11-27,0.06,0.066,5.15,6.15,0.066
1991-11-28,0.04,0.044,5.82,6.82,0.044
1991-11-29,0.17,0.187,4.91,5.91,0.187
1991-11-30,0.23,0.253,4,5,0.253
1991-12-01,0.09,0.099,4.61,5.61,0.099
1991-12-02,0.01,0.011,-0.35,0.65,0.011
1991-12-03,0.1,0.11,-0.15,0.85,0.11
1991-12-04,0.1,0.11,-0.11,0.89,0.11
1991-12-05,0.01,0.011,-1.15,-0.15,0.011
1991-12-06,1.16,1.276,-0.21,0.79,1.276
1991-12-07,1.23,1.353,-0.94,0.0600000000000001,1.353
1991-12-08,0.14,0.154,-1.76,-0.76,0.154
1991-12-09,0,0,-2.38,-1.38,0
1991-12-10,0.02,0.022,0.12,1.12,0.022
1991-12-11,0.02,0.022,1.12,2.12,0.022
1991-12-12,0.01,0.011,0.99,1.99,0.011
1991-12-13,0.16,0.176,6.3,7.3,0.176
1991-12-14,2.77,3.047,1.45,2.45,3.047
1991-12-15,2.39,2.629,-0.59,0.41,2.629
1991-12-16,0.28,0.308,-3.85,-2.85,0.308
1991-12-17,0.54,0.594,1.53,2.53,0.594
1991-12-18,13.86,15.246,1.88,2.88,13.5902539948426
1991-12-19,1.71,1.881,0.65,1.65,1.881
1991-12-20,0.22,0.242,1.54,2.54,0.242
1991-12-21,1.15,1.265,-0.52,0.48,1.265
1991-12-22,0.09,0.099,-3.88,-2.88,0.099
1991-12-23,3.36,3.696,1.93,2.93,3.696
1991-12-24,0.22,0.242,-3.36,-2.36,0.242
1991-12-25,0.01,0.011,-3.13,-2.13,0.011
1991-12-26,9.58,10.538,0.09,1.09,10.538
1991-12-27,4.06,4.466,-2.77,-1.77,4.466
1991-12-28,0.23,0.253,-1.49,-0.49,0.253
1991-12-29,0.01,0.011,2.25,3.25,0.011
1991-12-30,0,0,1.15,2.15,0
1991-12-31,0.01,0.011,-2.4,-1.4,0.011
1992-01-01,1.46,1.606,3.37,4.37,1.606
1992-01-02,1.9,2.09,3.83,4.83,2.09
1992-01-03,0.48,0.528,7.92,8.92,0.528
1992-01-04,0.25,0.275,2.75,3.75,0.275
1992-01-05,0.12,0.132,-0.62,0.38,0.132
1992-01-06,0.25,0.275,-2.24,-1.24,0.275
1992-01-07,5.55,6.105,1.95,2.95,6.105
1992-01-08,7.57,8.327,4.07,5.07,8.327
1992-01-09,1.22,1.342,-2.16,-1.16,1.342
1992-01-10,0.23,0.253,-2,-1,0.253
1992-01-11,0.05,0.055,5.04,6.04,0.055
1992-01-12,0,0,1.99,2.99,0
1992-01-13,0.16,0.176,-1.54,-0.54,0.176
1992-01-14,0.62,0.682,2.4,3.4,0.682
1992-01-15,0.04,0.044,4.94,5.94,0.044
1992-01-16,1.41,1.551,1.2,2.2,1.551
1992-01-17,0.2,0.22,-1.3,-0.3,0.22
1992-01-18,0.05,0.055,-2.93,-1.93,0.055
1992-01-19,0.02,0.022,-4.47,-3.47,0.022
1992-01-20,0.02,0.022,-4.5,-3.5,0.022
1992-01-21,0,0,-2.42,-1.42,0
1992-01-22,0.04,0.044,-0.39,0.61,0.044
1992-01-23,0.01,0.011,-1.88,-0.88,0.011
1992-01-24,0,0,-3.91,-2.91,0
1992-01-25,0.1,0.11,-2.57,-1.57,0.11
1992-01-26,1.15,1.265,-0.28,0.72,1.265
1992-01-27,0.08,0.088,1.59,2.59,0.088
1992-01-28,0.01,0.011,3.18,4.18,0.011
1992-01-29,0,0,3.06,4.06,0
1992-01-30,0,0,1.86,2.86,0
1992-01-31,0,0,-1.27,-0.27,0
1992-02-01,0.57,0.627,-2.04,-1.04,0.627
1992-02-02,0.04,0.044,-2.08,-1.08,0.044
1992-02-03,9.81,10.791,1.31,2.31,10.791
1992-02-04,5.31,5.841,-0.95,0.05,5.841
1992-02-05,0.2,0.22,-3,-2,0.22
1992-02-06,0.33,0.363,-3.74,-2.74,0.363
1992-02-07,0.06,0.066,-0.06,0.94,0.066
1992-02-08,0,0,1.21,2.21,0
1992-02-09,0.11,0.121,0.69,1.69,0.121
1992-02-10,1.18,1.298,1.48,2.48,1.298
1992-02-11,0.27,0.297,1.49,2.49,0.297
1992-02-12,0.02,0.022,0.8,1.8,0.022
1992-02-13,7.4,8.14,1.8,2.8,8.14
1992-02-14,3.61,3.971,1.18,2.18,3.971
1992-02-15,7.09,7.799,-3.33,-2.33,7.799
1992-02-16,0.81,0.891,-3.79,-2.79,0.891
1992-02-17,0.16,0.176,-6.03,-5.03,0.176
1992-02-18,0.01,0.011,-4.46,-3.46,0.011
1992-02-19,0,0,-4.13,-3.13,0
1992-02-20,0.11,0.121,-2.76,-1.76,0.121
1992-02-21,0.08,0.088,-1.66,-0.66,0.088
1992-02-22,0.69,0.759,-0.58,0.42,0.759
1992-02-23,3.4,3.74,4.27,5.27,3.74
1992-02-24,0.55,0.605,1.86,2.86,0.605
1992-02-25,0.24,0.264,3.45,4.45,0.264
1992-02-26,0.01,0.011,0.63,1.63,0.011
1992-02-27,0.05,0.055,3.13,4.13,0.055
1992-02-28,0.39,0.429,4.46,5.46,0.429
1992-02-29,0.07,0.077,2.4,3.4,0.077
1992-03-01,0.01,0.0105,4.2,5.2,0.0105
1992-03-02,1,1.05,7.23,8.23,1.05
1992-03-03,9.11,9.5655,3.55,4.55,9.5655
1992-03-04,0.52,0.546,2.75,3.75,0.546
1992-03-05,0.08,0.084,2,3,0.084
1992-03-06,0.11,0.1155,4.17,5.17,0.1155
1992-03-07,0.09,0.0945,5.45,6.45,0.0945
1992-03-08,0.01,0.0105,5.03,6.03,0.0105
1992-03-09,0,0,4.25,5.25,0
1992-03-10,0.02,0.021,5.64,6.64,0.021
1992-03-11,6.09,6.3945,4.25,5.25,6.3945
1992-03-12,4.64,4.872,1.92,2.92,4.872
1992-03-13,9.66,10.143,1.32,2.32,10.143
1992-03-14,1.94,2.037,-1.09,-0.0900000000000001,2.037
1992-03-15,0.12,0.126,-1.33,-0.33,0.126
1992-03-16,0.05,0.0525,0.24,1.24,0.0525
1992-03-17,3.11,3.2655,1.45,2.45,3.2655
1992-03-18,0.21,0.2205,5.27,6.27,0.2205
1992-03-19,0.54,0.567,6.88,7.88,0.567
1992-03-20,1.18,1.239,4.27,5.27,1.239
1992-03-21,0.66,0.693,4.73,5.73,0.693
1992-03-22,1.8,1.89,4.32,5.32,1.89
1992-03-23,1.81,1.9005,4.64,5.64,1.9005
1992-03-24,1.6,1.68,1.31,2.31,1.68
1992-03-25,0.08,0.084,-0.22,0.78,0.084
1992-03-26,0,0,0.23,1.23,0
1992-03-27,0.36,0.378,2.23,3.23,0.378
1992-03-28,5.52,5.796,0.53,1.53,5.796
1992-03-29,0.33,0.3465,-0.26,0.74,0.3465
1992-03-30,0.4,0.42,-1.07,-0.0700000000000001,0.42
1992-03-31,0.24,0.252,-0.35,0.65,0.252
1992-04-01,0.22,0.231,0.88,1.88,0.231
1992-04-02,25.21,26.4705,2.14,3.14,35.8995728841849
1992-04-03,1.81,1.9005,4.83,5.83,1.9005
1992-04-04,0.9,0.945,2.14,3.14,0.945
1992-04-05,10.78,11.319,-0.08,0.92,5.43850034322057
1992-04-06,1.03,1.0815,-0.29,0.71,1.0815
1992-04-07,0.12,0.126,1.4,2.4,0.126
1992-04-08,0.01,0.0105,1.55,2.55,0.0105
1992-04-09,0,0,2.68,3.68,0
1992-04-10,0.57,0.5985,4.59,5.59,0.5985
1992-04-11,0.14,0.147,5.85,6.85,0.147
1992-04-12,1.99,2.0895,6.85,7.85,2.0895
1992-04-13,7.86,8.253,4.99,5.99,8.253
1992-04-14,12.73,13.3665,1.23,2.23,9.41083447072066
1992-04-15,0.88,0.924,-0.52,0.48,0.924
1992-04-16,6.33,6.6465,-0.65,0.35,6.6465
1992-04-17,0.47,0.4935,1.15,2.15,0.4935
1992-04-18,3.02,3.171,2.05,3.05,3.171
1992-04-19,2.39,2.5095,3.21,4.21,2.5095
1992-04-20,0.89,0.9345,3.77,4.77,0.9345
1992-04-21,0.15,0.1575,1.8,2.8,0.1575
1992-04-22,0.56,0.588,-0.07,0.93,0.588
1992-04-23,0.12,0.126,0.68,1.68,0.126
1992-04-24,0.03,0.0315,1.43,2.43,0.0315
1992-04-25,8.04,8.442,3.94,4.94,8.442
1992-04-26,1.05,1.1025,8.61,9.61,1.1025
1992-04-27,20.39,21.4095,6.24,7.24,26.7480711770924
1992-04-28,2.03,2.1315,8.26,9.26,2.1315
1992-04-29,10.12,10.626,7.14,8.14,10.626
1992-04-30,1.92,2.016,7.56,8.56,2.016
1992-05-01,0.22,0.231,8.75,9.75,0.231
1992-05-02,3.69,3.8745,9.64,10.64,3.8745
1992-05-03,0.63,0.6615,8.71,9.71,0.6615
1992-05-04,0.05,0.0525,9.67,10.67,0.0525
1992-05-05,0.01,0.0105,10.73,11.73,0.0105
1992-05-06,0.64,0.672,9.54,10.54,0.672
1992-05-07,0.6,0.63,10.8,11.8,0.63
1992-05-08,0.43,0.4515,8.96,9.96,0.4515
1992-05-09,3.28,3.444,6.08,7.08,3.444
1992-05-10,1.49,1.5645,6.99,7.99,1.5645
1992-05-11,0.31,0.3255,7.54,8.54,0.3255
1992-05-12,2.67,2.8035,7.84,8.84,2.8035
1992-05-13,0.6,0.63,10.57,11.57,0.63
1992-05-14,0,0,12.83,13.83,0
1992-05-15,0,0,15.9,16.9,0
1992-05-16,0.01,0.0105,15,16,0.0105
1992-05-17,0,0,11.38,12.38,0
1992-05-18,0,0,15.35,16.35,0
1992-05-19,0,0,18.54,19.54,0
1992-05-20,0,0,19.08,20.08,0
1992-05-21,0.1,0.105,18.25,19.25,0.105
1992-05-22,0.1,0.105,16.9,17.9,0.105
1992-05-23,0.07,0.0735,17.49,18.49,0.0735
1992-05-24,1.92,2.016,17.31,18.31,2.016
1992-05-25,0.61,0.6405,16.09,17.09,0.6405
